Country,WHA15,WHA25,WHA34,WHA44,WHA56,WHA64,WHA75
Paraguay,0.04,0.04,0.01,0.03,0.0157,0.007,0.026
People's Democratic Republic of Yemen,,0.04,,,,,
Peru,0.09,0.09,0.06,0.06,0.1161,0.09,0.163
Philippines,0.37,0.28,0.1,0.09,0.0984,0.09,0.212
Poland,1.17,1.27,1.22,0.55,0.3719,0.8281,0.8371
Portugal,0.15,0.14,0.19,0.18,0.4546,0.511,0.353
Puerto Rico,,,,,0.001,0.001,0.001
Qatar,,0.02,0.03,0.05,0.0334,0.135,0.269
Republic of Korea,,0.1,0.15,0.21,1.8213,2.2602,2.5742
Republic of Kuwait,0.04,,,,,,
Republic of Moldova,,,,,0.002,0.002,0.005
Romania,0.29,0.32,0.2,0.19,0.0571,0.177,0.312
Ruanda-Urundi,0.02,,,,,,
Russian Federation,,,,,1.1807,1.6021,1.8661
Rwanda,,0.04,0.01,0.01,0.001,0.001,0.003
Saint Kitts and Nevis,,,,0.01,0.001,0.001,0.002
Saint Lucia,,,0.01,0.01,0.002,0.001,0.002
Saint Vincent and the Grenadines,,,,0.01,0.001,0.001,0.001
Samoa,,,0.01,0.01,0.001,0.001,0.001
San Marino,,,0.01,0.01,0.002,0.003,0.002
Sao Tome and Principe,,,0.01,0.01,0.001,0.001,0.001
Saudi Arabia,0.06,0.06,0.57,1.0,0.5451,0.8301,1.1841
Senegal,0.05,0.04,0.01,0.01,0.0049,0.006,0.007
Serbia,,,,,,0.037,0.032
Serbia and Montenegro,,,,,0.0197,,
Seychelles,,,0.01,0.01,0.002,0.002,0.002
Sierra Leone,0.04,0.04,0.01,0.01,0.001,0.001,0.001
Singapore,,0.05,0.08,0.11,0.3867,0.335,0.504
Slovakia,,,,,0.0423,0.142,0.155
Slovenia,,,,,0.0797,0.103,0.079
Solomon Islands,,,,0.01,0.001,0.001,0.001
Somalia,0.04,0.04,0.01,0.01,0.001,0.001,0.001
South Africa,0.48,0.49,0.41,0.44,0.4014,0.385,0.244
South Sudan,,,,,,,0.002
Southern Rhodesia,,0.02,,,,,
Spain,0.78,0.94,1.67,1.91,2.4783,3.1772,2.1341
Sri Lanka,0.08,0.05,0.02,0.01,0.0157,0.019,0.045
Sudan,0.06,0.04,0.01,0.01,0.0059,0.01,0.01
Suriname,,,0.01,0.01,0.002,0.003,0.003
Swaziland,,,0.01,0.01,0.002,0.003,
Sweden,1.19,1.13,1.29,1.19,1.0103,1.0641,0.8711
Switzerland,0.87,0.76,1.03,1.06,1.2535,1.1301,1.1341
Syrian Arab Republic,0.13,0.04,0.03,0.04,0.0787,0.025,0.009
Tajikistan,,,,,0.001,0.002,0.003
Tanganyika,0.04,,,,,,
Thailand,0.15,0.12,0.1,0.1,0.2893,0.209,0.368
The former Yugoslav Republic of Macedonia,,,,,0.0059,0.007,
Timor-Leste,,,,,0.001,0.001,0.001
Togo,0.04,0.04,0.01,0.01,0.001,0.001,0.002
Tokelau,,,,0.01,0.001,0.001,0.001
Tonga,,,0.01,0.01,0.001,0.001,0.001
Trinidad and Tobago,,0.04,0.03,0.05,0.0157,0.044,0.037
Tunisia,0.05,0.04,0.03,0.03,0.0295,0.03,0.019
Turkey,0.37,0.31,0.29,0.31,0.4329,0.617,0.8451
Turkmenistan,,,,,0.003,0.026,0.034
Tuvalu,,,,,0.001,0.001,0.001
Uganda,,0.04,0.01,0.01,0.0049,0.006,0.01
Ukraine,,,,,0.0521,0.087,0.056
Ukrainian SSR,1.81,1.68,1.44,1.23,,,
Union of Soviet Socialist Republics,13.67,12.78,10.91,9.8,,,
United Arab Emirates,,0.04,0.1,0.19,0.1987,0.391,0.635
United Arab Republic,0.14,,,,,,
United Kingdom of Great Britain and Northern Ireland,6.92,5.32,4.38,4.77,5.447,6.6045,4.3753
United Republic of Cameroon,,,0.01,,,,
United Republic of Tanzania,,0.04,0.01,0.01,0.0039,0.008,0.01
United States of America,31.12,30.84,25.0,25.0,22.0,22.0,22.0
Upper Volta,0.04,0.04,0.01,,,,
Uruguay,0.1,0.06,0.04,0.04,0.0787,0.027,0.092
Uzbekistan,,,,,0.0108,0.01,0.027
Vanuatu,,,,0.01,0.001,0.001,0.001
Venezuela,0.47,0.37,0.49,0.56,0.2047,0.314,0.175
Vietnam,0.15,0.06,0.03,0.01,0.0157,0.033,0.093
Western Samoa,,0.04,,,,,
Yemen,0.04,0.04,0.01,0.01,0.0059,0.01,0.008
Yugoslavia,0.35,0.34,0.41,0.45,,,
Zaire,,0.04,0.02,0.01,,,
Zambia,,0.04,0.02,0.01,0.002,0.004,0.008
Zimbabwe,,,0.01,0.02,0.0079,0.003,0.007
